userPost,userReply,type,actor,time
0,,like,AJ_SunsetDreams35,0:16
0,,read,AJ_SunsetDreams35,0:16
1,,like,Martha_Sullivan_44,0:10
1,,read,Martha_Sullivan_44,0:10
2,,like,Martha_Sullivan_44,0:31
2,,read,JenDavis35,0:03
3,,like,NateHarris_317,0:02
3,,read,EJFlicks1996,0:14
4,,like,EJFlicks1996,0:31
4,,read,NateHarris_317,0:10
,0,like,JenDavis35,0:26
,0,read,NateHarris_317,0:12
,1,like,Martha_Sullivan_44,0:04
,1,read,AJ_SunsetDreams35,0:01
,2,like,EJFlicks1996,0:36
,2,read,EJFlicks1996,0:36
,3,like,EJFlicks1996,0:19
,3,read,EJFlicks1996,0:19
,4,like,NateHarris_317,0:01
,4,read,Martha_Sullivan_44,0:30
